iter	Passed	Remaining
0	17	35563
1	35	35811
2	52	35225
3	69	34886
4	87	34753
5	104	34567
6	120	34430
7	137	34358
8	154	34272
9	173	34493
10	189	34305
11	207	34307
12	224	34259
13	240	34065
14	256	33973
15	271	33644
16	286	33405
17	302	33323
18	317	33135
19	334	33094
20	351	33082
21	367	33065
22	383	32995
23	400	33000
24	418	33073
25	435	33046
26	453	33129
27	470	33166
28	488	33182
29	506	33248
30	522	33174
31	540	33270
32	558	33307
33	577	33384
34	594	33359
35	610	33316
36	627	33291
37	644	33256
38	660	33226
39	677	33189
40	694	33201
41	713	33242
42	729	33197
43	744	33109
44	762	33125
45	780	33161
46	797	33131
47	813	33100
48	830	33066
49	848	33079
50	864	33027
51	880	32981
52	898	32989
53	915	33003
54	933	33015
55	951	33038
56	969	33054
57	986	33028
58	1004	33052
59	1022	33076
60	1040	33072
61	1056	33012
62	1072	32972
63	1090	32978
64	1105	32921
65	1123	32912
66	1139	32868
67	1155	32827
68	1170	32766
69	1187	32727
70	1203	32690
71	1218	32634
72	1235	32609
73	1251	32582
74	1268	32564
75	1285	32541
76	1301	32500
77	1317	32452
78	1336	32508
79	1353	32488
80	1370	32460
81	1387	32454
82	1404	32427
83	1422	32456
84	1440	32447
85	1457	32430
86	1472	32384
87	1489	32367
88	1506	32356
89	1524	32358
90	1540	32313
91	1556	32279
92	1573	32259
93	1589	32220
94	1607	32237
95	1625	32231
96	1641	32211
97	1658	32182
98	1674	32159
99	1689	32109
100	1706	32076
101	1724	32079
102	1738	32019
103	1755	31995
104	1772	31988
105	1789	31978
106	1805	31940
107	1823	31943
108	1841	31944
109	1860	31967
110	1877	31947
111	1893	31923
112	1909	31888
113	1926	31866
114	1943	31857
115	1961	31853
116	1978	31842
117	1995	31828
118	2012	31815
119	2029	31796
120	2046	31782
121	2061	31734
122	2079	31739
123	2095	31695
124	2113	31699
125	2129	31674
126	2147	31672
127	2164	31661
128	2181	31638
129	2197	31607
130	2216	31622
131	2234	31625
132	2250	31589
133	2267	31575
134	2284	31562
135	2299	31515
136	2315	31487
137	2331	31457
138	2348	31448
139	2367	31453
140	2382	31417
141	2398	31379
142	2414	31355
143	2429	31316
144	2445	31281
145	2461	31263
146	2477	31232
147	2494	31208
148	2510	31183
149	2525	31153
150	2541	31117
151	2557	31095
152	2572	31057
153	2587	31017
154	2602	30975
155	2617	30936
156	2632	30901
157	2650	30905
158	2666	30879
159	2683	30856
160	2698	30827
161	2716	30823
162	2734	30813
163	2752	30818
164	2767	30777
165	2784	30762
166	2799	30724
167	2815	30698
168	2830	30665
169	2845	30627
170	2861	30607
171	2877	30578
172	2892	30547
173	2907	30513
174	2923	30483
175	2939	30459
176	2956	30452
177	2972	30429
178	2989	30410
179	3006	30394
180	3023	30382
181	3040	30374
182	3056	30350
183	3073	30331
184	3089	30307
185	3106	30296
186	3122	30272
187	3139	30255
188	3154	30223
189	3171	30217
190	3189	30212
191	3205	30186
192	3220	30156
193	3239	30157
194	3254	30129
195	3269	30095
196	3287	30084
197	3303	30069
198	3319	30044
199	3334	30009
200	3350	29991
201	3368	29980
202	3384	29962
203	3401	29947
204	3417	29924
205	3433	29903
206	3447	29860
207	3463	29836
208	3478	29812
209	3491	29763
210	3507	29735
211	3524	29728
212	3541	29715
213	3558	29698
214	3575	29682
215	3592	29670
216	3611	29675
217	3626	29641
218	3643	29630
219	3658	29602
220	3674	29577
221	3691	29564
222	3705	29529
223	3721	29506
224	3738	29492
225	3754	29473
226	3768	29436
227	3785	29423
228	3800	29393
229	3816	29374
230	3833	29355
231	3851	29352
232	3869	29343
233	3884	29316
234	3900	29294
235	3918	29291
236	3932	29254
237	3950	29244
238	3965	29217
239	3982	29204
240	3998	29186
241	4015	29168
242	4033	29161
243	4049	29141
244	4064	29114
245	4078	29082
246	4095	29063
247	4110	29035
248	4125	29013
249	4141	28988
250	4155	28955
251	4171	28934
252	4185	28903
253	4200	28876
254	4217	28861
255	4234	28848
256	4252	28840
257	4270	28833
258	4286	28815
259	4303	28798
260	4317	28768
261	4333	28746
262	4349	28728
263	4366	28713
264	4382	28690
265	4399	28677
266	4415	28656
267	4431	28637
268	4448	28622
269	4465	28609
270	4479	28578
271	4494	28553
272	4508	28517
273	4524	28499
274	4540	28482
275	4557	28468
276	4574	28457
277	4591	28440
278	4607	28422
279	4623	28404
280	4642	28399
281	4659	28384
282	4676	28375
283	4690	28343
284	4706	28319
285	4720	28291
286	4737	28279
287	4753	28257
288	4770	28245
289	4786	28226
290	4801	28198
291	4817	28177
292	4833	28157
293	4850	28147
294	4867	28134
295	4884	28120
296	4900	28097
297	4915	28075
298	4931	28056
299	4945	28023
300	4962	28008
301	4977	27985
302	4992	27960
303	5009	27945
304	5024	27925
305	5038	27892
306	5052	27862
307	5066	27833
308	5083	27818
309	5101	27811
310	5116	27788
311	5135	27785
312	5151	27763
313	5169	27756
314	5184	27733
315	5198	27705
316	5213	27679
317	5230	27663
318	5246	27645
319	5260	27619
320	5278	27607
321	5294	27590
322	5310	27571
323	5326	27552
324	5344	27547
325	5361	27530
326	5377	27513
327	5390	27480
328	5404	27451
329	5419	27427
330	5436	27412
331	5450	27384
332	5464	27357
333	5480	27338
334	5498	27330
335	5514	27310
336	5529	27287
337	5546	27271
338	5560	27242
339	5577	27233
340	5597	27231
341	5614	27217
342	5628	27192
343	5644	27172
344	5661	27157
345	5674	27124
346	5688	27100
347	5705	27083
348	5721	27068
349	5738	27055
350	5753	27032
351	5769	27010
352	5783	26985
353	5800	26969
354	5817	26957
355	5833	26936
356	5848	26915
357	5865	26901
358	5883	26894
359	5900	26882
360	5919	26874
361	5935	26859
362	5949	26831
363	5962	26799
364	5976	26771
365	5991	26747
366	6006	26727
367	6022	26710
368	6036	26683
369	6052	26665
370	6069	26648
371	6084	26629
372	6097	26598
373	6111	26571
374	6125	26543
375	6141	26525
376	6157	26506
377	6174	26492
378	6191	26481
379	6205	26456
380	6224	26451
381	6242	26441
382	6255	26412
383	6270	26389
384	6285	26365
385	6301	26348
386	6316	26326
387	6333	26313
388	6351	26304
389	6366	26281
390	6383	26266
391	6402	26261
392	6417	26240
393	6432	26217
394	6445	26191
395	6459	26164
396	6474	26143
397	6491	26127
398	6504	26100
399	6524	26096
400	6538	26071
401	6552	26045
402	6567	26027
403	6582	26002
404	6601	25997
405	6616	25975
406	6630	25950
407	6644	25927
408	6662	25917
409	6680	25908
410	6699	25903
411	6715	25885
412	6732	25870
413	6748	25854
414	6763	25832
415	6780	25816
416	6798	25806
417	6812	25783
418	6827	25762
419	6845	25750
420	6861	25733
421	6877	25715
422	6892	25697
423	6907	25675
424	6925	25664
425	6938	25636
426	6955	25621
427	6970	25603
428	6985	25581
429	6999	25557
430	7015	25537
431	7030	25516
432	7042	25486
433	7058	25469
434	7077	25464
435	7092	25441
436	7105	25412
437	7120	25394
438	7136	25377
439	7150	25352
440	7168	25340
441	7180	25310
442	7198	25299
443	7213	25278
444	7227	25254
445	7242	25234
446	7257	25213
447	7271	25191
448	7288	25177
449	7304	25161
450	7321	25146
451	7336	25125
452	7351	25105
453	7366	25086
454	7385	25077
455	7398	25051
456	7414	25034
457	7428	25008
458	7442	24986
459	7456	24962
460	7473	24948
461	7487	24925
462	7500	24898
463	7515	24880
464	7528	24852
465	7540	24823
466	7558	24811
467	7574	24794
468	7587	24770
469	7603	24752
470	7618	24731
471	7632	24707
472	7647	24687
473	7662	24669
474	7677	24647
475	7692	24628
476	7709	24614
477	7725	24598
478	7740	24578
479	7758	24567
480	7772	24544
481	7784	24516
482	7799	24495
483	7816	24483
484	7830	24459
485	7845	24441
486	7860	24420
487	7875	24401
488	7893	24391
489	7909	24375
490	7924	24353
491	7938	24331
492	7957	24323
493	7970	24299
494	7987	24286
495	8003	24270
496	8019	24252
497	8033	24229
498	8047	24208
499	8065	24196
500	8079	24174
501	8094	24155
502	8112	24144
503	8127	24124
504	8145	24115
505	8161	24096
506	8176	24077
507	8191	24057
508	8207	24042
509	8221	24018
510	8233	23992
511	8252	23982
512	8271	23974
